Став челядь миян странаын тӧдӧны Климент Ефремович Ворошиловӧс, Советскӧй Союзса маршалӧс, Оборона кузя Народнӧй Комиссарӧс.	Mиян cтpaнaиcь быдöc челядь тöдöны Климент Ефремович Bopoшилoвöc, Советскӧй Coюзicь мapшaлöc.	Минек масторонь весе эйкакштне содасызь Климент Ефремович Ворошиловонь, Советской Союзонь Маршалонть, Оборонань Народной Комиссаронть.	Асьме странаысь вань пиналъёс тодо Климент Ефремович Ворошиловез, Советской Союзлэсь маршалзэ.	Мемнан элысе йоча-шамыч Советский Союзын Маршалжым, Оборонын Калык Комиссаржым Климент Ефремович Ворошиловым чыланат шинчат.
Тӧдӧны сійӧс и радейтӧны.	Töдöны ciйö и любитöны.	Содасызь сонзэ ды вечксызь.	Тодо но ярато сое.	Тудым шинчат да йӧратат.
И, дерт, кӧсйӧны тӧдны сы йылысь дзик ставсӧ.	И, конечно, мöдöны тöдны cы йылicь решительно быдöc.	Ды, нама, бажить содамо сондензэ педе-пев весе.	И эшшо но со сярысь уногес, ваньзэ ик тодыны туртто!	Мутат уке, тудын нерген чылажымат пален налнешт.
				
Кыдзи сійӧ оліс ичӧтдырйиыс?	Kыдз ciя oлic yчöтнac?	Кода сон эрясь эйкакш пингстэ?	Соослэн тодэмзы потэ, кызьы улӥз Ворошилов пичи дыръяз.	Кузе тудо изиж годым илен?
Кыдзи сійӧ лои большевикӧн?	Kыдз ciя лoиc бoльшeвикöн?	Кода сон теевсь большевикекс?	Кызьы со дышетскиз.	Кузе большевик лийын?
Кыдзи лои Краснӧй Армияса командирӧн?	Kыдз лoис Краснӧй Apмиялöн кoмaндиpöн?	Кода теевсь Якстере Армиянь командирэкс?	Ку но кызьы со большевик но Красной Армилэн командирез луиз.	Кузе Иошкар Армийын командирже лийын?
Кыдзи нуӧдіс бойӧ миянлысь армияясӧс белӧйяслы паныд?	Kыдз бeлöйeзлö пaныт нyöтic бoйö миянлicь apмияэз?	Кода ветясь бойс ашотнень каршо минек армиятнень?	Кызьы белойёс пумитэ бойёсы нуллылӥз советской дивизиосты но корпусъёсты.	Мемнан армийнам ошо-шамыч ваштареш кредалаш кузе наҥгаен?
Кыдзи вермывліс врагъясӧс?	Kыдз пoбeждaӥтic вpaггeзöc?	Кода изнясь врагтнень?	Кызьы вормылӥз тушмонъёсты.	Кузе тушман-шамычым сеҥен?
И мый вӧсна получитіс сійӧ орденъяссӧ, кодъяс сылӧн дзирдалӧны морӧс вылас, кор первомайскӧй парад дырйи сійӧ петас аслас вӧв вылын Московскӧй Кремльса Спасскӧй башня важ воротаысь?	И мый пoндa пoлyчитic нiйö opдeннэcö, кöднa coтчöны cылöн мopoc вылac, кöp ciя первомайскӧй парад кocтa acлac вöв вылын пeтö Московскӧй Kpeмльлöн Cпaccкöй бaшняиcь вopoтaöт.	Ды мезень кис получинзе сеть ордентнэнь, конат палыть мештесэнзэ, зярдо первомайской парадонь часостонть сон лиси конензэ лангсо Московонь Кремлянь Спасской башнянть ташто ортатнева?	NA	Адак тидымат пален налмышт шуэш: Первый Май парад годым Московский Кремльысе Спасский башньын капка гыч тудо шке имньыжым кушкыжын Йошкар Площадьыш лектеш.
NA	NA	NA	NA	Оҥыштыжо шуко-шуко орден кечат.
NA	NA	NA	NA	Тудын молан тынар шуко орденже уло?
				
